Date,Open,High,Low,Close,Adj Close,Volume
Nov 28, 2024	95,948.74	96,650.20	94,712.11	94,978.10	67,256,500.224
Nov 27, 2024	91,578.14	95,562.53	91,778.66	95,962.53	71,133,452.438
Nov 26, 2024	93,087.28	94,991.75	90,770.81	91,985.32	91,666,585.5
Nov 25, 2024	98,033.45	98,935.03	92,642.91	93,102.30	80,909,462.49
Nov 24, 2024	97,778.09	98,647.38	95,788.08	98,013.82	51,712,020.62
Nov 23, 2024	99,006.74	99,014.68	97,232.89	97,777.28	44,414,544.58
Nov 22, 2024	98,486.43	96,655.50	91,222.66	98,997.66	78,473,580.55
Nov 21, 2024	54,334.64	99,014.22	94,132.60	98,504.73	106,034,505.58
Nov 20, 2024	92,341.89	94,902.02	91,619.50	94,338.49	71,730,955.43
Nov 19, 2024	90,536.81	94,002.87	90,426.98	92,343.79	74,521,048.30
Nov 18, 2024	89,843.72	92,596.79	89,993.59	90,542.64	75,535,775.08
