Date,Open,High,Low,Close,Adj Close,Volume
28-Nov-24	242.28	244.98	233.28	234.78	234.78	47914446528
27-Nov-24	230.97	243.12	228.13	242.3	242.3	5381404312
26-Nov-24	234.45	239.64	222.96	230.98	230.98	6996936265
25-Nov-24	252.92	256.42	231.55	234.45	234.45	6616015635
24-Nov-24	255.18	259.63	243.12	252.92	252.92	5330146683
23-Nov-24	256.52	263.83	253.19	255.18	255.18	6234742858
22-Nov-24	257.08	263.7	252.14	256.52	256.52	7249493783
21-Nov-24	235.43	259.05	230.34	257.07	257.07	10735314060
20-Nov-24	238.09	242.11	230.91	235.42	235.42	64541414445
19-Nov-24	239.8	247.09	234.15	238.1	238.1	67119191414
18-Nov-24	237.58	248.19	234.4	239.79	239.79	8798714213
17-Nov-24	215.85	241.24	212.73	237.58	237.58	9981076722
16-Nov-24	218.57	221.66	213.8	215.85	215.85	4698955745
15-Nov-24	209.24	219.54	204.83	218.09	218.09	6109860311
14-Nov-24	215.18	222.64	207.5	209.22	209.22	8094554275
13-Nov-24	212.21	220.34	201.47	215.18	215.18	11296665808
12-Nov-24	222.64	225.01	205.45	212.23	212.23	11308516682
11-Nov-24	210.61	223.22	204.56	222.64	222.64	10290809023
10-Nov-24	200.2	215.18	198.98	210.61	210.61	8564655765
09-Nov-24	199.94	203.35	195.47	200.19	200.19	3363617004
08-Nov-24	196.33	204.97	196.02	199.94	199.94	5673142495
07-Nov-24	186.95	197.9	186.14	196.33	196.33	4700842780
06-Nov-24	166.72	189.92	166.7	186.95	186.95	9822932731
05-Nov-24	157.75	169.13	156.99	166.72	166.72	3243848057
04-Nov-24	162.55	164.71	155.17	157.75	157.75	2809006700
03-Nov-24	166.01	166.38	158.14	162.55	162.55	2645801646
02-Nov-24	166.26	168.46	162.39	166.01	166.01	1618170398
01-Nov-24	168.43	173.85	164.03	166.26	166.26	3157093060
